step,Time,Ambient,PVT,PCMT,nano-PCMT,PVP,PCMP,nano-PCMP,Radiation
1,9:00:00 am,25.32,43.44,30.63,29.80,6.37,6.59,7.65,648.2277687
2,9:00:30 am,25.27,43.96,30.83,29.97,6.31,6.62,7.68,649.4673933
3,9:01:00 am,25.30,44.49,31.05,30.18,6.42,6.65,7.72,651.0046887
4,9:01:30 am,24.65,44.57,31.25,30.38,6.43,6.68,7.75,653.3933712
5,9:02:00 am,24.05,44.98,31.41,30.54,6.43,6.71,7.77,655.1415626
6,9:02:30 am,24.50,45.11,31.59,30.69,6.45,6.71,7.78,657.7485825
7,9:03:00 am,24.07,45.11,31.73,30.84,6.42,6.73,7.81,659.626307
8,9:03:30 am,24.40,45.41,31.90,31.01,6.47,6.74,7.83,661.9348349
9,9:04:00 am,25.34,46.04,32.07,31.17,6.45,6.75,7.82,663.6160379
10,9:04:30 am,25.35,46.31,32.24,31.34,6.49,6.75,7.83,665.7639895
11,9:05:00 am,26.15,46.50,32.43,31.51,6.50,6.83,7.93,668.0510179
12,9:05:30 am,24.88,46.57,32.59,31.66,6.54,6.90,7.99,669.9088118
13,9:06:00 am,24.14,46.61,32.75,31.80,6.56,6.92,8.01,671.2242681
14,9:06:30 am,24.52,46.73,32.89,31.95,6.59,6.95,8.04,673.0488223
15,9:07:00 am,25.21,46.97,33.05,32.08,6.58,6.98,8.06,674.5843533
16,9:07:30 am,24.92,47.23,33.20,32.23,6.53,6.98,8.06,675.7343302
17,9:08:00 am,24.96,47.34,33.33,32.36,6.60,7.00,8.09,677.1620221
18,9:08:30 am,25.39,47.51,33.46,32.50,6.66,7.04,8.13,679.4526488
19,9:09:00 am,25.95,48.07,33.61,32.63,6.67,7.08,8.17,681.7023533
20,9:09:30 am,24.69,48.09,33.75,32.76,6.66,7.09,8.19,683.6108549
21,9:10:00 am,25.24,48.16,33.88,32.88,6.66,7.12,8.21,685.8250957
22,9:10:30 am,24.85,48.48,34.00,33.00,6.69,7.14,8.24,689.7094259
